Document_id,clean_text,Sentiment
review : 10,laptop month half love boot second multitasking super fast simultaneously downloading several file listening itunes working spreadsheet didnt slow machine one bit load memory space although generally dont use touchscreen feature kind cool fingerprint reader work perfectly hard pressed find comparable laptop anywhere close price also bought laplink pcmover software amazon made fast seamless transfer,Positive
review : 11,laptop feel cheap key super small backlight make hard see trackpad horrible flex hypersensitive point almost unusable set easy onboard dell ai assistant fan bit loud per review machine run hot touchscreen actually decent work well speaker get buzzy even medium volume played music video yt due annoying trackpad poor sound quality sure keep return,Neutral
review : 12,literally thing would say laptop wish touchscreen little responsive dont get wrong still great touchscreen wish registered touch little accurately laptop super fast havent issue little hesitant dell thought gaming brand like asus might better constructed going forward definitely consider dell best laptop ive owned far,Positive
review : 13,wish didnt waste money buying budget acerasus model first rd laptop many month finally excellent one,Positive
review : 14,boot time pretty long min moderate usage started getting responding error load time application surprisingly long typing keyboard laggy box would recommend laptop light surfing streamingthe seller awesome though would buy time,Neutral
review : 15,bootup quite fast exceeds last laptop hand dont use touch screen didnt rate really seems like overkill machine would given star rating except usb c connection going hook docking station didnt realize capability guess looked closer user complained fan noise issue fan occasionally even hear dell user many year also several brand laptop dell preferred laptop,Positive
review : 16,ordered new recurved used one return,Negative
review : 17,speed ok screen lower end quality bad contrast washed received used unit new listed laptop work correctly update applied perhaps like new description,Neutral
review : 18,already issue require repair beyond inhouse guy,Negitive
review : 19,laptop ok price lack usbc problem especially power connector broken sure adapter board case expected better dell close hp quality compliment,Negitive
review : 20,laptop randomly shut would restart worked fine otherwise finally enough contacted dell warranty expired february purchased oct promised brand new laptop someone used reject,Negative
review : 21,give sister cook clean take trash love facebook new laptop bought laptop spec laptop gobbs memory enough hard drive space million picture hope like im pretty sure love,Positive
review : 22,far week use loving laptop spent lot time researching get laptop within budget ran really well one check box speed memory sound screen great happy choice use personal business use,Positive
review : 23,sure time touch screen worthy extra cost,Positive
review : 24,thing dont like even turning keyboard light continually pressed difficult see character key,Positive
review : 25,overall good laptop casual use fan backlit keyboard difficult see key sometimes would recommend laptop anyone looking fast easy use solution shopping reading reasearch,Positive
review : 26,laptop used wife replaces older dell inspiron laptop enjoys speed feel keyboard touchscreen display havent heard complaint praise,Positive
review : 27,review written non techie persongood memory well lit screen easy use use laptopfor email publisher work well laptop isheavier might like carry laptopoften fine rarely take desk athome thought price good capabilitiesit,Positive
review : 28,came evening around pm thankful usps still working scratch outside used im greatly need good computer far working terrific fast touch screen course doesnt really use unless feeling lazy using mouse computer great please amazon dell send brand new computer without scratch top would put star came brand new buyer beware,Positive
review : 29,product arrived damaged working seller refuse fix replace blaming damage beware purchasing brown box seller,Negative
review : 30,tried start computer first time said bootable item go dellcomsupport find warranty expired jun ordered computer january avoid product seller cost total rip,Negative
review : 31,absolutely love,Positive
review : 32,light enough slightly overheating first use speed great ssd fly right cant fault pc save belong camp doesnt understand need touch screen laptop think waste nonetheless dell delivered expected,Positive
review : 33,computer amazing processor fast yet reasonable price im happy,Positive
review : 34,worked expected really good value laptop nd hd,Positive
review : 35,good laptop ecxept ethernet speed specification said gigabit ethernet port max mbps download spoke dell support tech tried everything get mbps luck able get wifi speed mbps still low based mbps internet service,Negative
review : 36,muy buen equipo pero el que recibí aparentemente tiene problema con la memoria ram pues al instalar un programa nuevo exigirle al equipo el window se tranca sale una pantalla azul de error luego del reinicio se autoresuelve pero resulta algo incómodo que te suceda frecuentemente,Positive
review : 37,like din work right also receive refund one month,Negative
review : 38,excellent pc work perfectly fast worth money,Positive
review : 39,ordered laptop december daughter th birthday week stopped working date back forth seller send information ship back item get full refund dont waste money,Negative
review : 40,good still setting,Positive
review : 41,ive used laptop week say met needed far,Positive
review : 42,love,Positive
review : 43,laptop arrived time exactly advertised plan using writing research coding,Positive
review : 44,advertised quick connectivity via wifi,Positive
review : 45,product sold used announcement said new received product tried find long would guarantee unfortunately informed service code guarantee already expired,Negative
review : 46,wish would weight le surface mouse would feel smother fingerseverything else fine thank,Positive
review : 47,im happy performance,Positive
review : 48,usually wait awhile writing review computer equipment month issue performs expected,Positive
review : 49,purchase laptop proven everything hoped ive problem since arrived setup snap good technical advice son selection came,Positive
review : 50,product used pacifically personbusiness use,Neutral
review : 51,work great right box adding microsoft office professional fast quiet responds fast,Positive
review : 52,meh,Neutral
review : 53,dell product top heep,Positive
review : 54,computer proven fast needed setup easy move lightening speed,Positive
review : 55,bought grown child absolutely love computer happy,Positive
review : 56,great little computer,Positive
review : 57,ad offered new machine machine delivered used warranty expires dec two day,Negative
review : 58,good computer good price,Positive
review : 59,laptop amazing fast display good definitely recommend student office purpose,Positive
review : 60,used daughter go college work great,Positive
review : 61,work great far,Positive
review : 62,like nice touchscreen make computer faster,Positive
review : 63,personal useits everything looking laptop,Positive
review : 64,nice laptop everything needed christmas gift,Positive
review : 65,far love,Positive
review : 66,battery run hour started using fully charged,Neutral
review : 67,title description different actual productless memory half hard drive,Negative
review : 68,dell best amazing one isnt even xpsrecipient amazed speed,Positive
review : 69,really fast startup nice screen quality everything want,Positive
review : 70,meet expectationsso far,Positive
review : 71,thing didnt like one screw screwed completely,Negative
review : 72,beautiful fast,Positive
review : 73,satisfied purchase,Positive
review : 74,good laptop high performance working fast smooth,Positive
review : 75,happy product,Positive
review : 76,best laptop,Positive
review : 77,fast perfect computer,Positive
review : 78,great product,Positive
review : 79,great,Positive
